
id,name,host_name,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
1001,Cozy Studio,John,Manhattan,40.7128,-74.006,120,2,45,1.2,180
1002,Modern Apartment,Sarah,Brooklyn,40.6782,-73.9442,200,3,60,2.5,200
1003,Private Room,David,Queens,40.7282,-73.7949,80,1,20,0.8,150
1004,Luxury Condo,Emily,Manhattan,40.7612,-73.997,350,2,100,3,300
1005,Budget Stay,Michael,Bronx,40.8448,-73.8648,60,1,10,0.3,90
1006,Spacious Loft,Anna,Brooklyn,40.6782,-73.9442,250,4,70,2,210
1007,City View Room,Chris,Manhattan,40.7306,-73.9352,150,2,55,1.5,170
1008,Quiet Apartment,Linda,Queens,40.7282,-73.7949,130,3,40,1.1,160
1009,Shared Space,Tom,Bronx,40.8448,-73.8648,50,1,15,0.5,120
1010,Premium Stay,Olivia,Manhattan,40.758,-73.9855,400,2,120,3.5,320
